,Feature,Rank,Median_Total_Costs,Original_Category,Count
0,Hospital Service Area,1,6100.12,Southern Tier,23253
1,Hospital Service Area,2,6626.285,Finger Lakes,153160
2,Hospital Service Area,3,6771.04,Western NY,166915
3,Hospital Service Area,4,6989.17,Central NY,158507
4,Hospital Service Area,5,7259.055,Capital/Adirond,170192
5,Hospital Service Area,6,9633.16,Long Island,348957
6,Hospital Service Area,7,9679.630000000001,Hudson Valley,246884
7,Hospital Service Area,8,10019.845,New York City,1070546
8,Hospital County,1,3260.45,Wayne,6562
9,Hospital County,2,3740.86,Chautauqua,10219
10,Hospital County,3,3843.885,Livingston,2380
11,Hospital County,4,3963.72,Genesee,4791
12,Hospital County,5,4033.58,Orleans,375
13,Hospital County,6,4239.1849999999995,Cayuga,5220
14,Hospital County,7,4360.045,Allegany,2088
15,Hospital County,8,4486.22,Yates,707
16,Hospital County,9,4636.02,Steuben,5803
17,Hospital County,10,4707.75,Wyoming,1765
18,Hospital County,11,4709.15,Fulton,2861
19,Hospital County,12,4752.145,Schuyler,496
20,Hospital County,13,4938.34,Cattaraugus,6281
21,Hospital County,14,5104.855,Cortland,3812
22,Hospital County,15,5343.45,Ontario,11671
23,Hospital County,16,5358.635,St Lawrence,10802
24,Hospital County,17,5424.76,Oswego,4490
25,Hospital County,18,5659.05,Sullivan,4495
26,Hospital County,19,5682.7,Schoharie,465
27,Hospital County,20,5781.01,Niagara,16081
28,Hospital County,21,5829.57,Montgomery,6351
29,Hospital County,22,5890.215,Rensselaer,10526
30,Hospital County,23,5892.01,Tompkins,7058
31,Hospital County,24,6010.08,Columbia,5070
32,Hospital County,25,6050.89,Warren,13453
33,Hospital County,26,6055.465,Broome,21922
34,Hospital County,27,6095.950000000001,Herkimer,762
35,Hospital County,28,6185.0,Jefferson,11359
36,Hospital County,29,6248.94,Chemung,12797
37,Hospital County,30,6288.5650000000005,Oneida,28832
38,Hospital County,31,6465.29,Richmond,57351
39,Hospital County,32,6531.145,Madison,4430
40,Hospital County,33,7026.24,Putnam,7137
41,Hospital County,34,7221.24,Dutchess,35064
42,Hospital County,35,7270.795,Schenectady,22160
43,Hospital County,36,7336.73,Chenango,1331
44,Hospital County,37,7488.58,Otsego,12073
45,Hospital County,38,7518.084999999999,Saratoga,10530
46,Hospital County,39,7550.844999999999,Monroe,112744
47,Hospital County,40,7707.12,Erie,125315
48,Hospital County,41,7764.04,Albany,72655
49,Hospital County,42,7943.51,Essex,407
50,Hospital County,43,8128.28,Queens,201007
51,Hospital County,44,8536.54,Rockland,31383
52,Hospital County,45,8566.415,Onondaga,80466
53,Hospital County,46,8900.05,Suffolk,164344
54,Hospital County,47,9042.395,Kings,233512
55,Hospital County,48,9085.84,Franklin,4223
56,Hospital County,49,9115.439999999999,Lewis,1276
57,Hospital County,50,9416.65,Bronx,182959
58,Hospital County,51,10020.5,Orange,39334
59,Hospital County,52,10261.465,Clinton,8862
60,Hospital County,53,10315.69,Nassau,184613
61,Hospital County,54,10945.02,Westchester,119302
62,Hospital County,55,11304.32,Ulster,10169
63,Hospital County,56,12067.365,Delaware,556
64,Hospital County,57,13705.54,Manhattan,395717
65,Facility Name,1,1761.975,Monroe Community Hospital,2
66,Facility Name,2,2298.0,Ira Davenport Memorial Hospital Inc,345
67,Facility Name,3,2762.55,SJRH - Park Care Pavilion,6962
68,Facility Name,4,2944.91,Westfield Memorial Hospital Inc,15
69,Facility Name,5,2984.93,Alice Hyde Medical Center,1817
70,Facility Name,6,3245.41,The Burdett Care Center,1928
71,Facility Name,7,3260.45,Newark-Wayne Community Hospital,6562
72,Facility Name,8,3302.0,St James Mercy Hospital,800
73,Facility Name,9,3307.7,TLC Health Network Lake Shore Hospital,721
74,Facility Name,10,3617.4799999999996,Oswego Hospital - Alvin L Krakau Comm Mtl Health Center Div,778
75,Facility Name,11,3694.835,UPMC Chautauqua at WCA,7536
76,Facility Name,12,3772.72,United Memorial Medical Center North Street Campus,4347
77,Facility Name,13,3800.75,Cohen Children's Medical Center,18889
78,Facility Name,14,3843.885,Nicholas H Noyes Memorial Hospital,2380
79,Facility Name,15,3960.73,Brooks Memorial Hospital,1947
80,Facility Name,16,4014.09,Cuba Memorial Hospital Inc,19
81,Facility Name,17,4028.465,Bertrand Chaffee Hospital,962
82,Facility Name,18,4033.58,Medina Memorial Hospital,375
83,Facility Name,19,4148.625,"Rome Memorial Hospital, Inc",3804
84,Facility Name,20,4170.145,Our Lady of Lourdes Memorial Hospital Inc,4710
85,Facility Name,21,4239.1849999999995,Auburn Community Hospital,5220
86,Facility Name,22,4373.15,Memorial Hosp of Wm F & Gertrude F Jones A/K/A Jones Memorial Hosp,2069
87,Facility Name,23,4453.924999999999,Staten Island University Hosp-South,9424
88,Facility Name,24,4459.245000000001,Highland Hospital,18508
89,Facility Name,25,4486.22,Soldiers and Sailors Memorial Hospital of Yates County Inc,707
90,Facility Name,26,4520.94,Clifton Springs Hospital and Clinic,2341
91,Facility Name,27,4642.325000000001,Sisters of Charity Hospital,14870
92,Facility Name,28,4646.2,Flushing Hospital Medical Center,16542
93,Facility Name,29,4707.75,Wyoming County Community Hospital,1765
94,Facility Name,30,4709.15,Nathan Littauer Hospital,2861
95,Facility Name,31,4752.145,Schuyler Hospital,496
96,Facility Name,32,4778.575,Claxton-Hepburn Medical Center,3022
97,Facility Name,33,4938.34,Olean General Hospital,6281
98,Facility Name,34,4941.5599999999995,Eastern Niagara Hospital - Lockport Division,4170
99,Facility Name,35,5014.014999999999,F F Thompson Hospital,5542
100,Facility Name,36,5095.42,Niagara Falls Memorial Medical Center,5531
101,Facility Name,37,5104.855,Cortland Regional Medical Center Inc,3812
102,Facility Name,38,5193.120000000001,Corning Hospital,4658
103,Facility Name,39,5212.35,Oneida Healthcare,2941
104,Facility Name,40,5249.76,Eastern Long Island Hospital,2842
105,Facility Name,41,5389.98,Aurelia Osborn Fox Memorial Hospital,1997
106,Facility Name,42,5393.52,Crouse Hospital,20363
107,Facility Name,43,5407.19,St. Joseph's Hospital,2155
108,Facility Name,44,5424.64,Women And Children's Hospital Of Buffalo,12401
109,Facility Name,45,5447.42,Faxton-St Lukes Healthcare St Lukes Division,15024
110,Facility Name,46,5459.235000000001,Canton-Potsdam Hospital,5310
111,Facility Name,47,5493.514999999999,Massena Memorial Hospital,2140
112,Facility Name,48,5501.88,Albany Medical Center - South Clinical Campus,6
113,Facility Name,49,5620.91,Catskill Regional Medical Center,4456
114,Facility Name,50,5656.385,St. Mary's Healthcare,6180
115,Facility Name,51,5665.030000000001,Carthage Area Hospital Inc,1274
116,Facility Name,52,5681.12,Brooklyn Hospital Center - Downtown Campus,14057
117,Facility Name,53,5682.7,Cobleskill Regional Hospital,465
118,Facility Name,54,5830.55,SBH Health System,14805
119,Facility Name,55,5867.98,Richmond University Medical Center,16619
120,Facility Name,56,5886.15,Oswego Hospital,3712
121,Facility Name,57,5892.01,Cayuga Medical Center at Ithaca,7058
122,Facility Name,58,5919.04,Millard Fillmore Suburban Hospital,17449
123,Facility Name,59,6001.25,Northern Dutchess Hospital,5850
124,Facility Name,60,6010.08,Columbia Memorial Hospital,5070
125,Facility Name,61,6050.89,Glens Falls Hospital,13453
126,Facility Name,62,6095.950000000001,Little Falls Hospital,762
127,Facility Name,63,6201.41,Jamaica Hospital Medical Center,21330
128,Facility Name,64,6213.885,Ellenville Regional Hospital,310
129,Facility Name,65,6213.95,Samaritan Medical Center,9979
130,Facility Name,66,6217.280000000001,United Health Services Hospitals Inc. - Wilson Medical Center,12842
131,Facility Name,67,6243.674999999999,Degraff Memorial Hospital,1214
132,Facility Name,68,6267.15,St. Peter's Addiction Recovery Center,593
133,Facility Name,69,6312.71,Nyack Hospital,12857
134,Facility Name,70,6318.24,New York Eye and Ear Infirmary of Mount Sinai,307
135,Facility Name,71,6332.17,Ellis Hospital - Bellevue Woman's Care Center Division,5076
136,Facility Name,72,6469.835,United Memorial Medical Center Bank Street Campus,444
137,Facility Name,73,6556.58,Arnot Ogden Medical Center,10642
138,Facility Name,74,6561.005,Samaritan Hospital,8194
139,Facility Name,75,6571.38,St Charles Hospital,10951
140,Facility Name,76,6576.48,Redacted for Confidentiality,5155
141,Facility Name,77,6644.34,Rochester General Hospital,33245
142,Facility Name,78,6723.87,Mount Sinai Hospital - Mount Sinai Hospital of Queens,8743
143,Facility Name,79,6899.855,St Joseph's Medical Center,3886
144,Facility Name,80,6904.745,Albany Memorial Hospital,2494
145,Facility Name,81,6946.870000000001,Lincoln Medical & Mental Health Center,21432
146,Facility Name,82,6955.58,The Unity Hospital of Rochester-St Marys Campus,483
147,Facility Name,83,7026.24,Putnam Hospital Center,7137
148,Facility Name,84,7106.79,Geneva General Hospital,3788
149,Facility Name,85,7203.17,Vassar Brothers Medical Center,23267
150,Facility Name,86,7262.26,Good Samaritan Hospital Medical Center,26139
151,Facility Name,87,7284.64,St Peters Hospital,28631
152,Facility Name,88,7285.725,Mount St Marys Hospital and Health Center,5166
153,Facility Name,89,7304.41,Ellis Hospital,14711
154,Facility Name,90,7333.02,Staten Island University Hosp-North,30991
155,Facility Name,91,7336.73,Chenango Memorial Hospital Inc,1331
156,Facility Name,92,7379.62,RUMC-Bayley Seton,317
157,Facility Name,93,7457.174999999999,St. Mary's Hospital,404
158,Facility Name,94,7460.23,O'Connor Hospital,142
159,Facility Name,95,7491.32,Maimonides Medical Center,40071
160,Facility Name,96,7501.9,Mercy Hospital of Buffalo,21735
161,Facility Name,97,7518.084999999999,Saratoga Hospital,10530
162,Facility Name,98,7519.31,New York-Presbyterian/Lower Manhattan Hospital,12891
163,Facility Name,99,7530.355,Long Island Jewish Forest Hills,15680
164,Facility Name,100,7751.38,United Health Services Hospitals Inc. - Binghamton General Hospital,4370
165,Facility Name,101,7814.75,St Josephs Hospital Health Center,26509
166,Facility Name,102,7906.29,Brookhaven Memorial Hospital Medical Center Inc,12131
167,Facility Name,103,7931.835,St Catherine of Siena Hospital,11040
168,Facility Name,104,7939.0650000000005,The University of Vermont Health Network - Elizabethtown Community Hospital,396
169,Facility Name,105,7983.95,Mount Sinai West,25473
170,Facility Name,106,8076.43,"New York Community Hospital of Brooklyn, Inc",6704
171,Facility Name,107,8085.48,Crouse Hospital - Commonwealth Division,723
172,Facility Name,108,8195.15,Albany Medical Center Hospital,40931
173,Facility Name,109,8239.58,Gouverneur Hospital,299
174,Facility Name,110,8295.22,Mary Imogene Bassett Hospital,10076
175,Facility Name,111,8298.185,Mount Sinai Brooklyn,9318
176,Facility Name,112,8364.41,Catskill Regional Medical Center - G. Hermann Site,39
177,Facility Name,113,8373.875,Wyckoff Heights Medical Center,13794
178,Facility Name,114,8447.72,Clifton-Fine Hospital,31
179,Facility Name,115,8458.625,Sisters of Charity Hospital - St Joseph Campus,4240
180,Facility Name,116,8526.13,North Central Bronx Hospital,7375
181,Facility Name,117,8574.53,South Nassau Communities Hospital,21901
182,Facility Name,118,8601.005000000001,New York-Presbyterian/Lawrence Hospital,11618
183,Facility Name,119,8607.36,New York - Presbyterian Brooklyn Methodist Hospital,36153
184,Facility Name,120,8617.54,Interfaith Medical Center,8735
185,Facility Name,121,8628.02,NewYork-Presbyterian/Hudson Valley Hospital,9263
186,Facility Name,122,8659.33,St. Joseph Hospital,5972
187,Facility Name,123,8661.494999999999,University Hospital - Stony Brook Southampton Hospital,4708
188,Facility Name,124,8704.2,St Luke's Cornwall Hospital/Newburgh,10451
189,Facility Name,125,8851.6,Long Island Jewish Valley Stream,8613
190,Facility Name,126,8917.18,Bronx-Lebanon Hospital Center - Fulton Division,4131
191,Facility Name,127,8948.6,Southside Hospital,22779
192,Facility Name,128,9054.7,Metropolitan Hospital Center,10539
193,Facility Name,129,9081.69,Strong Memorial Hospital,43275
194,Facility Name,130,9100.49,New York Presbyterian Hospital - Allen Hospital,12115
195,Facility Name,131,9115.439999999999,Lewis County General Hospital,1276
196,Facility Name,132,9159.705,New York - Presbyterian/Queens,33474
197,Facility Name,133,9202.435000000001,White Plains Hospital Center,17690
198,Facility Name,134,9340.28,Erie County Medical Center,15837
199,Facility Name,135,9345.66,Mercy Medical Center,10829
200,Facility Name,136,9365.795,Huntington Hospital,16856
201,Facility Name,137,9368.035,"River Hospital, Inc.",106
202,Facility Name,138,9407.17,St Joseph's MC-St Vincents Westchester Division,3081
203,Facility Name,139,9410.885,Good Samaritan Hospital of Suffern,16146
204,Facility Name,140,9441.2,Kenmore Mercy Hospital,8163
205,Facility Name,141,9444.96,SJRH - St Johns Division,9080
206,Facility Name,142,9502.17,Elmhurst Hospital Center,20855
207,Facility Name,143,9761.0,Woodhull Medical & Mental Health Center,11098
208,Facility Name,144,9853.98,Jacobi Medical Center,19513
209,Facility Name,145,9903.154999999999,Montefiore Med Center - Jack D Weiler Hosp of A Einstein College Div,29124
210,Facility Name,146,9960.48,The Unity Hospital of Rochester,17231
211,Facility Name,147,9985.380000000001,NYU Langone Hospital-Brooklyn,23954
212,Facility Name,148,9986.42,Long Island Jewish Medical Center,43891
213,Facility Name,149,10004.93,Orange Regional Medical Center,22911
214,Facility Name,150,10008.665,St Johns Episcopal Hospital So Shore,7858
215,Facility Name,151,10048.9,Moses-Ludington Hospital,11
216,Facility Name,152,10065.06,Queens Hospital Center,13745
217,Facility Name,153,10145.65,Montefiore Medical Center-Wakefield Hospital,15325
218,Facility Name,154,10193.85,Lenox Hill Hospital,32546
219,Facility Name,155,10211.98,St Elizabeth Medical Center,10004
220,Facility Name,156,10229.33,Nassau University Medical Center,18488
221,Facility Name,157,10261.465,The University of Vermont Health Network - Champlain Valley Physicians Hospital,8862
222,Facility Name,158,10326.76,North Shore University Hospital,48316
223,Facility Name,159,10330.06,Brookdale Hospital Medical Center,14133
224,Facility Name,160,10337.115,Montefiore Medical Center - Henry & Lucy Moses Div,43092
225,Facility Name,161,10397.785,Peconic Bay Medical Center,8558
226,Facility Name,162,10426.62,Mid-Hudson Valley Division of Westchester Medical Center,5947
227,Facility Name,163,10452.27,Kings County Hospital Center,21579
228,Facility Name,164,10520.61,Plainview Hospital,8443
229,Facility Name,165,10766.82,Community Memorial Hospital Inc,1489
230,Facility Name,166,10814.11,Northern Westchester Hospital,9949
231,Facility Name,167,10844.035,Bellevue Hospital Center,25886
232,Facility Name,168,10909.735,John T Mather Memorial Hospital of Port Jefferson New York Inc,11842
233,Facility Name,169,10956.58,UPSTATE University Hospital at Community General,8055
234,Facility Name,170,11033.055,University Hospital,36498
235,Facility Name,171,11066.66,Kingsbrook Jewish Medical Center,8503
236,Facility Name,172,11218.49,Glen Cove Hospital,4643
237,Facility Name,173,11258.1,HealthAlliance Hospital Broadway Campus,6957
238,Facility Name,174,11297.57,Bronx-Lebanon Hospital Center - Concourse Division,25563
239,Facility Name,175,11407.7,Mount Sinai Beth Israel,20115
240,Facility Name,176,11411.675,Harlem Hospital Center,11850
241,Facility Name,177,11622.765,Buffalo General Medical Center,24752
242,Facility Name,178,11829.595000000001,NYU Winthrop Hospital,36702
243,Facility Name,179,12042.77,University Hospital SUNY Health Science Center,24816
244,Facility Name,180,12093.560000000001,Bon Secours Community Hospital,3542
245,Facility Name,181,12129.37,Coney Island Hospital,14261
246,Facility Name,182,12450.16,HealthAlliance Hospital Mary's Avenue Campus,2902
247,Facility Name,183,12660.1,New York Presbyterian Hospital - Columbia Presbyterian Center,49079
248,Facility Name,184,12726.27,Sunnyview Hospital and Rehabilitation Center,2373
249,Facility Name,185,12985.75,Montefiore New Rochelle Hospital,6733
250,Facility Name,186,13031.185000000001,St Francis Hospital,16894
251,Facility Name,187,13053.535,St Anthony Community Hospital,2430
252,Facility Name,188,13087.74,Margaretville Hospital,109
253,Facility Name,189,13113.47,New York Presbyterian Hospital - Westchester Division,4371
254,Facility Name,190,13214.91,St. Mary's Healthcare - Amsterdam Memorial Campus,171
255,Facility Name,191,13568.22,Montefiore Mount Vernon Hospital,3031
256,Facility Name,192,13699.435,Adirondack Medical Center-Saranac Lake Site,2406
257,Facility Name,193,13877.02,Phelps Memorial Hospital Assn,8115
258,Facility Name,194,14155.27,New York Presbyterian Hospital - New York Weill Cornell Center,46119
259,Facility Name,195,14408.34,Mount Sinai Hospital,52335
260,Facility Name,196,15141.265,Syosset Hospital,3812
261,Facility Name,197,15243.88,Delaware Valley Hospital Inc,305
262,Facility Name,198,15332.84,Calvary Hospital Inc,2599
263,Facility Name,199,15533.565,Roswell Park Cancer Institute,4906
264,Facility Name,200,15558.77,Mount Sinai St. Luke's,14102
265,Facility Name,201,15643.029999999999,University Hospital of Brooklyn,11152
266,Facility Name,202,16363.74,SJRH - Dobbs Ferry Pavillion,807
267,Facility Name,203,16653.33,NYU Langone Hospitals,36547
268,Facility Name,204,19077.41,Westchester Medical Center,21711
269,Facility Name,205,20355.335,Helen Hayes Hospital,2380
270,Facility Name,206,23617.775,Winifred Masterson Burke Rehabilitation Hospital,2420
271,Facility Name,207,23902.13,Hospital for Special Surgery,15071
272,Facility Name,208,24411.835,Memorial Sloan Kettering Memorial Hospital,23300
273,Facility Name,209,30396.485,NYU Langone Orthopedic Hospital,7174
274,Facility Name,210,37566.78,Blythedale Childrens Hospital,585
275,Facility Name,211,130009.005,Henry J. Carter Specialty Hospital,268
276,Age Group,1,3240.22,0 to 17,338345
277,Age Group,2,7208.79,18 to 29,233886
278,Age Group,3,8192.28,30 to 49,450134
279,Age Group,4,11676.05,70 or Older,664780
280,Age Group,5,11679.0,50 to 69,656424
281,Zip Code,1,5182.24,147,17487
282,Zip Code,2,6090.88,149,6162
283,Zip Code,3,6092.83,148,24153
284,Zip Code,4,6205.95,145,33309
285,Zip Code,5,6241.25,139,7130
286,Zip Code,6,6335.73,135,10189
287,Zip Code,7,6611.0,122,19476
288,Zip Code,8,6676.629999999999,144,29934
289,Zip Code,9,6704.135,146,59046
290,Zip Code,10,6706.9400000000005,137,11614
291,Zip Code,11,6718.71,143,10055
292,Zip Code,12,6828.97,136,26455
293,Zip Code,13,6952.215,123,18868
294,Zip Code,14,6967.6900000000005,130,39712
295,Zip Code,15,7018.575000000001,121,30954
296,Zip Code,16,7069.11,140,44203
297,Zip Code,17,7075.44,120,36129
298,Zip Code,18,7103.21,138,12170
299,Zip Code,19,7168.805,142,66942
300,Zip Code,20,7172.84,141,21662
301,Zip Code,21,7195.475,131,18116
302,Zip Code,22,7211.2,134,20837
303,Zip Code,23,7245.790000000001,128,24312
